City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ilo,-17.6394,-71.3375,71.15,62,2,5.82,PE,1587748514
Souillac,-20.5167,57.5167,77.0,94,75,8.05,MU,1587747928
Hasaki,35.7333,140.8333,41.0,100,20,4.7,JP,1587748159
Rikitea,-23.1203,-134.9692,76.55,70,100,11.14,PF,1587748521
Yarim,14.298,44.3779,57.18,42,97,1.32,YE,1587748142
Bétaré Oya,5.6,14.0833,75.04,65,69,1.52,CM,1587748273
Codrington,-38.2667,141.9667,55.56,83,100,13.47,AU,1587748268
Kapa‘a,22.0752,-159.319,75.2,83,75,16.11,US,1587748590
Port Elizabeth,-33.918,25.5701,64.4,88,80,9.17,ZA,1587748148
Russell County,32.3502,-85.1999,71.01,64,75,3.36,US,1587748521
East London,-33.0153,27.9116,68.76,87,99,6.38,ZA,1587748148
Upernavik,72.7868,-56.1549,32.02,94,0,7.94,GL,1587748479
Busselton,-33.65,115.3333,63.0,73,100,15.88,AU,1587748260
Tuatapere,-46.1333,167.6833,55.0,69,62,10.0,NZ,1587748273
Basoko,1.2391,23.616,79.83,60,39,1.3,CD,1587748143
Cologno al Serio,45.5821,9.7088,73.99,35,53,8.05,IT,1587748461
Atambua,-9.1061,124.8925,74.21,76,100,7.83,ID,1587748155
Kifrī,34.6959,44.9661,76.1,30,57,8.12,IQ,1587748142
Hermanus,-34.4187,19.2345,69.01,67,58,7.0,ZA,1587748473
Jamestown,42.097,-79.2353,55.4,62,90,3.36,US,1587748568
Flinders,-34.5833,150.8552,59.0,75,0,8.21,AU,1587748597
Três Rios,-22.1167,-43.2092,78.01,57,63,2.57,BR,1587748480
Lüderitz,-26.6481,15.1594,77.0,50,1,9.17,NA,1587748473
Atuona,-9.8,-139.0333,82.02,73,13,16.17,PF,1587748521
Ushuaia,-54.8,-68.3,35.6,93,75,20.8,AR,1587748504
Akdepe,42.0551,59.3788,50.0,93,90,11.41,TM,1587747916
Mount Isa,-20.7333,139.5,77.0,20,3,8.05,AU,1587748143
Grândola,38.1772,-8.5668,63.0,85,78,5.01,PT,1587748274
Thompson,55.7435,-97.8558,33.8,47,75,6.93,CA,1587748597
Hobart,-42.8794,147.3294,59.0,76,90,5.82,AU,1587748143
Camacha,33.0833,-16.3333,64.4,59,40,14.99,PT,1587748274
Tres Arroyos,-38.3739,-60.2798,68.05,76,98,9.28,AR,1587748504
Nikolskoye,59.7035,30.7861,41.0,75,90,8.95,RU,1587747914
Tiksi,71.6872,128.8694,13.75,94,6,4.56,RU,1587748254
Hilo,19.7297,-155.09,69.8,88,90,9.17,US,1587748590
Mataura,-46.1927,168.8643,55.0,69,66,10.0,NZ,1587748597
Vaini,-21.2,-175.2,75.2,100,40,2.24,TO,1587748521
Mar del Plata,-38.0023,-57.5575,66.99,88,90,8.05,AR,1587748479
Ranong,9.9658,98.6348,82.0,79,40,5.3,TH,1587748149
Porto Recanati,43.4365,13.6613,69.8,32,0,4.7,IT,1587748455
New Norfolk,-42.7826,147.0587,57.99,72,100,3.0,AU,1587748266
Roald,62.5833,6.1333,48.2,66,40,8.05,NO,1587748449
Rwamagana,-1.9487,30.4347,71.6,78,40,6.93,RW,1587748143
Kimbe,-5.5502,150.1429,75.09,87,60,3.06,PG,1587748158
Leningradskiy,69.3833,178.4167,15.03,92,0,5.73,RU,1587748260
Seydi,39.4816,62.9137,69.94,45,68,13.44,TM,1587748149
Pevek,69.7008,170.3133,17.37,88,83,7.45,RU,1587748260
Punta Arenas,-53.15,-70.9167,46.0,60,2,13.0,CL,1587748513
Avarua,-21.2078,-159.775,78.8,78,50,10.29,CK,1587748521
Chuy,-33.6971,-53.4616,76.1,60,91,8.08,UY,1587748480
Bengkulu,-3.8004,102.2655,77.92,83,98,3.98,ID,1587748155
Cidreira,-30.1811,-50.2056,74.86,65,6,14.2,BR,1587748485
Fairbanks,64.8378,-147.7164,33.01,46,1,6.93,US,1587748591
Orbe,46.725,6.5307,73.4,28,37,3.36,CH,1587748308
Saint-Philippe,-21.3585,55.7679,73.4,94,4,24.16,RE,1587747928
Lebu,-37.6167,-73.65,58.41,84,95,20.67,CL,1587748514
Los Llanos de Aridane,28.6585,-17.9182,69.8,64,75,6.93,ES,1587748156
Provideniya,64.3833,-173.3,21.96,93,7,9.08,RU,1587748521
Bambous Virieux,-20.3428,57.7575,78.01,94,75,8.05,MU,1587747929
Tuktoyaktuk,69.4541,-133.0374,-7.6,76,75,6.93,CA,1587748597
Pacific Grove,36.6177,-121.9166,71.01,68,1,5.82,US,1587748578
City of Isabela,6.7085,121.9711,79.54,82,3,2.42,PH,1587748156
Castro,-24.7911,-50.0119,76.08,36,3,5.46,BR,1587748485
Yeraliyev,43.2,51.65,52.23,56,73,5.26,KZ,1587747916
Lata,40.1629,-8.3327,64.0,85,99,7.0,PT,1587748314
Khovd,48.0056,91.6419,49.14,23,4,2.42,MN,1587748154
Hamilton County,39.1834,-84.5333,63.0,63,75,10.29,US,1587748538
Kodiak,57.79,-152.4072,42.8,87,90,10.29,US,1587748591
Yar-Sale,66.8333,70.8333,20.93,95,78,10.18,RU,1587747934
Monteagudo,-19.8167,-63.9833,89.38,27,0,7.7,BO,1587748514
Shingū,33.7333,135.9833,44.98,55,0,7.43,JP,1587748157
Katima Mulilo,-17.5,24.2667,73.4,53,19,2.24,NA,1587748148
College,64.8569,-147.8028,33.01,42,20,6.93,US,1587748591
Plácido de Castro,-10.3353,-67.1856,89.74,52,22,2.39,BR,1587748514
Kloulklubed,7.0419,134.2556,80.6,83,75,9.17,PW,1587748697
Clyde River,70.4692,-68.5914,15.8,78,75,14.99,CA,1587748591
Dikson,73.5069,80.5464,19.02,97,82,12.75,RU,1587747934
Worthington,40.0931,-83.018,62.01,71,90,11.41,US,1587748569
Iqaluit,63.7506,-68.5145,32.0,85,90,11.41,CA,1587748592
Barrow,71.2906,-156.7887,-0.4,84,1,13.87,US,1587748591
Isangel,-19.55,169.2667,76.28,76,95,16.78,VU,1587748260
Villa Carlos Paz,-31.4241,-64.4978,95.0,36,17,20.8,AR,1587748504
Teteltzingo,19.0667,-97.15,71.53,26,22,5.37,MX,1587748490
Bluff,-46.6,168.3333,55.0,69,87,10.0,NZ,1587748273
Nishihara,26.1842,127.7558,62.6,59,75,4.7,JP,1587748247
Estelle,29.8458,-90.1067,80.01,47,1,8.05,US,1587748531
Cape Town,-33.9258,18.4232,66.2,72,55,13.87,ZA,1587748473
Kanigoro,-8.13,112.219,76.44,82,100,3.6,ID,1587747937
Hong Kong,22.2855,114.1577,66.2,77,40,4.7,HK,1587748157
Mahébourg,-20.4081,57.7,77.0,94,75,8.05,MU,1587748148
Chokurdakh,70.6333,147.9167,6.4,95,0,3.0,RU,1587748260
Nanga Eboko,4.6833,12.3667,78.33,60,53,2.68,CM,1587748148
Faanui,-16.4833,-151.75,80.6,79,22,15.93,PF,1587748521
Norman Wells,65.282,-126.8329,6.8,60,75,12.75,CA,1587748596
Folkestone,51.0833,1.1833,64.99,67,9,12.75,GB,1587748159
Caravelas,-17.7125,-39.2481,77.88,67,25,16.31,BR,1587748485
Teguise,29.0605,-13.564,71.6,49,40,13.87,ES,1587748156
Glenwood Springs,39.5505,-107.3248,51.8,92,75,6.42,US,1587748583
Albany County,42.6001,-73.9662,46.4,45,90,5.82,US,1587748563
Yellowknife,62.456,-114.3525,23.0,57,90,5.82,CA,1587748597
São Filipe,14.8961,-24.4956,72.61,71,3,16.22,CV,1587748473
Nyurba,63.2842,118.3319,29.84,95,39,2.51,RU,1587748254
